np,title,date,appends,subindex_count
http://purl.org/np/RApizOwYz0AfBo6y1TSmG_5hWCbXYCKVa2HspzrMEoTjk,Nanopubs covering interactions extracted from WikiPathways version 20170510,2017-05-11T08:55:47.497+02:00,http://purl.org/np/RAzcR82ioDitrRRiYzFh9CaAmktmQp27ECwgi2fJa3LP0,0
http://purl.org/np/RAd2XME41qX2G0_L8iyKZ5HQfzXc9iPoR4JKqlfxjr67I,Nanopubs covering interactions extracted from WikiPathways version 20170410,2017-05-11T08:55:31.967+02:00,http://purl.org/np/RAz7hfNHIrdUG_mUIVz7QkICACIhDhbKCIG3VVhEwPuiE,0
http://purl.org/np/RALEiGJ4h5ddSN92eL3AlewfhCxrdgeZ1YLhWjR_1wZFE,Nanopubs covering interactions extracted from WikiPathways version 20170310,2017-05-11T08:55:16.242+02:00,http://purl.org/np/RA8s8gjIbfDzfpaPKVYh-wspxoGuC3mAjBHkNum39DoA0,0
http://purl.org/np/RAz6aGMobsbBYFWTp95n2RQOYZI8ZerInelEow0fsWGko,Nanopubs covering interactions extracted from WikiPathways version 20170210,2017-05-11T08:55:00.878+02:00,http://purl.org/np/RAYPKFXEUZ40HAwMkPVVWHymJFWC3vbc1w5KEI-0KugdU,0
http://purl.org/np/RABXul9kAvYymPptZYM48cIBKVu5z17W4M2jtrn1a3GJQ,Nanopubs covering interactions extracted from WikiPathways version 20161210,2017-05-11T08:54:44.487+02:00,http://purl.org/np/RAlsp1-ReHs9oevoSSOActbXt1pu9Ky0a_B0nhGQShg68,0
http://purl.org/np/RAYuzoANh721DxMebtf-AZMyW3vIxBvZh22if0Pc8hNo0,Nanopubs covering interactions extracted from WikiPathways version 20161110,2017-05-11T08:54:25.701+02:00,http://purl.org/np/RAyRvkwICHQgX4cHmhidT4yWAZYkfSmf-LWA0uB9-Hdok,0
http://purl.org/np/RA8nws6QKUl6NCEqOSBnV3VNdGoXTjDi2rSgFcciQotW4,Nanopubs covering interactions extracted from WikiPathways version 20161010,2017-05-11T08:54:06.283+02:00,http://purl.org/np/RAjMa3QfdXAds-W-qzIwPmeFZeHRfb4tLB9W-pFctneE0,0
http://purl.org/np/RA6Sbqku5f5D4rhHF9Sc-XVnCNDsk7CTrt24lnScnkHoA,Nanopubs covering interactions extracted from WikiPathways version 20160910,2017-05-11T08:53:51.435+02:00,http://purl.org/np/RAmxUQ6Vxb3xFIWxzRv9W2VAGd2an-LEwPa66daSYrqAQ,0
http://purl.org/np/RAOHFPqgB7grnOPYfhXfcZEsY7dHHjfHQGzrL2Mp6aUtQ,Nanopubs covering interactions extracted from WikiPathways version 20160810,2017-05-11T08:53:35.247+02:00,http://purl.org/np/RAuzrmrIp6U5LBVE1dZY_4Rn_u28iKnBPTR7jcmRwuFuc,0
http://purl.org/np/RAB4s_Mswg579pYGflUa1Gu_84hMmByKY8nn013npwBl0,Nanopubs covering interactions extracted from WikiPathways version 20160710,2017-05-11T08:53:16.290+02:00,http://purl.org/np/RAHuul1ERVOS0HuTD9AnLdo8SdgdEhhPDnzrGNh5YmEQk,0
http://purl.org/np/RA3-lOrJmxp2tYS3fa4t5dD09NcmcVbPeCV-suchaJFRA,Nanopubs covering interactions extracted from WikiPathways version 20160610,2017-05-11T08:52:59.713+02:00,http://purl.org/np/RAXGxIZyyntiEKxVLuFEqbcp5StZ_-ctWD9QOPldbnH0I,0
http://purl.org/np/RA1gsyHUYrQV3yOgRQ1XrHVWrrF41GQV1h6BePCfm-7eg,Nanopubs covering complexes extracted from WikiPathways version 20170510,2017-05-11T08:52:50.461+02:00,,0
http://purl.org/np/RAND_wLT2kB7y5kU7XhM1_1v0FVuQsxlW2oHVUNODoYXM,Nanopubs covering complexes extracted from WikiPathways version 20170410,2017-05-11T08:52:49.639+02:00,,0
http://purl.org/np/RACwicgJPGLo5kW8r-4OE4PWpdXj1MEkSrAYmM1tm_kRU,Nanopubs covering complexes extracted from WikiPathways version 20170310,2017-05-11T08:52:48.790+02:00,,0
http://purl.org/np/RAN4lt0A-fANM4g1NuHni4J7xs1IlBaXYKVNGVoKBGOZo,Nanopubs covering complexes extracted from WikiPathways version 20170210,2017-05-11T08:52:47.960+02:00,,0
